id,has_availability,availability_30,availability_60,availability_90,availability_365
41339,t,27,57,87,201
55111,t,0,0,0,0
73828,t,0,0,0,0
87873,t,0,0,0,0
94701,t,22,39,66,320
96394,,0,0,0,0
100521,,0,0,0,0
104045,t,0,0,0,0
105347,t,28,58,81,313
108153,t,0,0,0,67
122362,t,14,20,34,256
125872,t,30,60,90,365
127208,t,1,7,13,166
582405,t,0,0,0,145
587499,t,26,38,64,303
597262,t,0,0,0,0
598806,t,29,59,89,89
604702,t,8,9,17,254
605605,t,8,16,36,240
609453,t,0,0,0,0
609455,t,0,0,0,0
128557,t,0,0,0,141
134570,t,23,53,77,324
619218,t,30,54,84,359
620462,t,30,58,86,361
620628,t,8,18,27,293
621663,t,23,43,57,258
621980,t,30,54,78,345
627273,t,0,0,0,0
628004,t,5,22,49,229
139425,t,27,51,71,300
141255,t,0,0,0,216
155127,t,26,53,77,338
155723,,0,0,0,0
169321,t,26,50,80,170
628606,,0,0,0,0
638432,t,0,5,30,276
640344,t,19,41,57,271
659341,t,13,19,20,192
663607,t,28,58,88,363
681306,t,5,14,20,260
681307,t,8,11,19,241
691479,t,5,5,11,162
186655,t,0,0,0,0
186946,t,17,27,32,271
191005,t,20,31,49,314
692042,t,9,16,31,290
695656,t,17,44,74,252
696324,t,26,48,77,344
703873,t,28,50,71,341
708484,t,0,0,0,66
713596,t,0,0,0,0
735736,t,0,0,0,0
736472,t,1,12,21,262
207475,,0,0,0,0
208147,t,0,10,10,137
241573,t,12,24,35,299
241574,t,10,15,24,244
241743,t,11,20,26,253
248537,t,25,34,57,298
738602,t,11,15,21,245
746214,t,12,12,12,12
748133,,0,0,0,0
749496,t,19,34,42,107
753560,f,0,0,0,0
758709,t,4,11,17,242
759702,t,21,37,63,338
764471,t,4,5,9,202
769605,t,3,3,3,178
264087,t,18,48,78,168
265819,t,24,51,81,356
266970,t,4,11,31,242
780430,t,4,8,17,264
780538,t,14,24,38,269
781542,t,20,44,66,331
786791,t,21,51,81,356
819535,t,11,13,14,259
827208,t,27,57,87,346
829780,t,28,52,82,357
852698,t,18,18,18,127
860418,t,23,53,83,173
270094,t,9,20,24,85
270965,t,30,55,85,353
273345,t,9,13,24,273
278886,t,15,19,32,278
313017,,0,0,0,0
322277,t,29,59,89,346
863923,t,22,48,64,329
870040,t,11,23,43,253
878879,,0,0,0,0
901441,t,7,15,23,222
901491,t,8,22,28,242
901558,t,0,0,0,0
940770,t,7,16,22,282
969918,,0,0,0,0
1000044,t,5,12,16,65
322467,t,30,56,83,355
366442,,0,0,0,0
383641,t,30,60,90,362
386984,t,0,0,0,0
393987,t,8,8,13,76
1023015,t,30,51,81,300
1072112,t,12,32,52,321
1075476,t,11,20,32,273
1081354,t,21,48,78,353
1083736,t,16,30,48,305
1096376,t,10,14,18,223
1119084,t,15,28,41,218
1144090,t,13,38,48,313
1165025,t,29,50,68,205
399584,t,1,1,1,1
403114,t,10,25,50,230
404688,t,1,1,1,1
411572,t,29,59,89,364
1168784,t,28,58,88,363
1170448,t,1,1,1,1
1179009,t,20,35,56,250
1179607,t,20,31,51,254
1185985,t,26,40,68,274
1192674,t,5,15,32,295
1207275,t,26,48,78,344
1257019,t,23,23,41,304
415993,t,2,2,2,200
429790,t,0,7,24,182
457924,t,30,60,90,338
485699,t,0,0,0,0
486268,t,3,7,15,144
502059,t,0,0,0,0
1263840,t,2,4,4,9
1268146,t,0,0,0,0
1284630,t,28,58,80,161
1284759,t,17,19,35,115
1288357,t,13,30,60,311
1289907,t,30,53,81,356
1293257,t,30,60,90,361
510404,t,27,57,87,177
510406,t,23,53,83,173
518534,t,4,8,14,239
530692,t,15,23,53,281
536698,t,30,60,90,365
1296230,t,20,34,57,303
1296253,t,30,60,90,347
1296270,t,29,59,89,349
1296278,t,30,60,90,350
1296281,t,29,59,89,349
538055,,0,0,0,0
538059,,0,0,0,0
538061,,0,0,0,0
538062,,0,0,0,0
538064,,0,0,0,0
1298881,t,1,1,1,1
1299930,t,26,34,44,255
1299933,t,23,27,37,246
1302618,t,28,54,72,347
1304318,,0,0,0,0
1306861,t,28,58,88,363
538066,,0,0,0,0
538069,,0,0,0,0
546381,t,21,36,58,255
562251,t,13,25,39,201
565255,t,29,51,81,356
571382,t,0,0,0,1
573687,t,0,6,27,125
1306890,t,23,53,80,355
1317232,t,9,20,40,291
1334834,t,15,27,35,305
1338982,t,5,19,45,221
1347859,,0,0,0,0
1380068,t,21,33,45,297
1380766,t,12,24,37,258
577242,t,26,51,63,163
581356,t,12,18,26,258
581402,t,0,0,0,0
1728778,t,0,6,18,236
1728818,t,1,2,5,205
1728836,t,4,8,9,225
1745872,t,4,14,18,153
1753203,t,0,0,0,0
1381092,t,0,6,15,214
1381777,t,30,42,72,258
1391373,t,0,6,35,133
1430405,t,4,8,15,223
1432272,t,13,31,48,309
1437251,t,1,1,1,1
1437344,t,28,53,83,301
1459519,t,29,57,87,337
1473897,t,9,23,38,210
